RMU_NAME,ADMS_GSS-FID,Y1,Y2,Y3,Y4,Q1,Q2,TYPE,NET_DESCRIPTION1,port
24704,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,172.20.51.238,2404
24897,JED-NTH-ABH-AH315,1,1,1,0,1,0,3L1T,172.168.6.76,2404
24898,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
25178,JED-NTH-ABH-AH314,1,1,1,0,1,0,3L1T,172.20.52.38,2404
25185,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
25257,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
25308,JED-NTH-ABH-AH308,1,1,0,0,1,0,2L1T,,
25683,JED-NTH-ABH-AH311,1,1,0,0,1,0,2L1T,172.20.32.151,2404
25879,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
25925,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
26337,JED-NTH-ABH-AH321,1,1,1,0,1,0,3L1T,172.20.4.183,2404
26352,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,172.168.5.249,2404
26370,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
26371,JED-NTH-ABH-AH313,1,1,1,0,1,0,3L1T,172.20.23.17,2404
26557,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
26570,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
26590,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
26600,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,172.20.25.121,2404
26727,JED-NTH-ABH-AH307,1,1,1,0,1,0,3L1T,172.20.60.110,2404
26746,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
26766,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
26772,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,172.20.6.30,2404
26802,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.20.10.224,2404
26833,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
26877,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.20.52.181,2404
27163,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
27545,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
27546,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
27547,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,172.20.31.195,2404
27548,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
27788,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
27873,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
28058,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
28920,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.20.50.120,2404
29245,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
29471,JED-NTH-ABH-AH314,1,1,1,0,1,0,3L1T,172.20.10.131,2404
29719,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
29776,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
29796,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
29797,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
29798,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
29799,JED-NTH-ABH-AH314,1,1,1,0,1,0,3L1T,172.20.37.197,2404
29800,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
29801,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
29802,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
29863,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
29905,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,172.20.4.14,2404
30332,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
30424,JED-NTH-ABH-AH308,1,1,0,0,1,0,2L1T,172.20.36.57,2404
30812,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,172.20.37.96,2404
30814,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,172.20.31.184,2404
30815,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30817,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30818,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30821,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30824,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30825,JED-NTH-ABH-AH313,1,1,1,0,1,0,3L1T,172.168.5.166,2404
30826,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30827,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30828,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30829,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30830,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,172.20.13.0,2404
30831,JED-NTH-ABH-AH312,1,1,1,0,1,0,3L1T,172.168.8.44,2404
30833,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30834,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,172.20.37.198,2404
30836,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30839,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30840,JED-NTH-ABH-AH312,1,1,1,0,1,0,3L1T,172.20.42.163,2404
30842,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30843,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,172.20.13.39,2404
30844,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30849,JED-NTH-ABH-AH312,1,1,1,0,1,0,3L1T,,
30851,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30852,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30853,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30857,JED-NTH-ABH-AH312,1,1,1,0,1,0,3L1T,,
30859,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,2404
30863,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30864,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30866,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30867,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,172.168.6.231,2404
30869,JED-NTH-ABH-AH312,1,1,1,0,1,0,3L1T,172.20.41.156,2404
30872,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30873,JED-NTH-ABH-AH313,1,1,1,0,1,0,3L1T,172.168.4.54,2404
30874,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30875,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30877,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30881,JED-NTH-ABH-AH312,1,1,1,0,1,0,3L1T,172.20.58.232,2404
30882,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30883,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30885,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30886,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30891,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30895,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30896,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30898,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30901,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30902,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
30903,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30904,JED-NTH-ABH-AH312,1,1,1,0,1,0,3L1T,172.20.52.44,2404
30905,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,172.20.36.16,2404
30907,JED-NTH-ABH-AH312,1,1,1,0,1,0,3L1T,172.20.39.231,2404
30910,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30911,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,172.20.30.6,2404
30913,JED-NTH-ABH-AH312,1,1,0,0,1,0,2L1T,,
30914,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
31041,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31105,JED-NTH-ABH-AH315,1,1,1,0,1,0,3L1T,,
31106,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31107,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31108,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31109,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31110,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31111,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31112,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31113,JED-NTH-ABH-AH315,1,1,1,0,1,0,3L1T,,
31114,JED-NTH-ABH-AH315,1,1,1,0,1,0,3L1T,,
31115,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31116,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31117,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31118,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31119,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31120,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31121,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31122,JED-NTH-ABH-AH315,1,1,1,0,1,0,3L1T,,
31123,JED-NTH-ABH-AH315,1,1,1,0,1,0,3L1T,,
31124,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31125,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31126,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31127,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31128,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31129,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31130,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31131,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31132,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31133,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31139,JED-NTH-ABH-AH315,1,1,1,0,1,0,3L1T,,
31140,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
31241,JED-NTH-ABH-AH308,1,1,0,0,1,0,2L1T,172.20.5.158,2404
31475,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
31714,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
31760,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
32010,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
32545,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
32919,JED-NTH-ABH-AH321,1,1,0,0,1,1,2L2T,172.20.38.65,2404
32937,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
32979,JED-NTH-ABH-AH311,1,1,0,0,1,0,2L1T,,
33004,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
33015,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
33039,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
33139,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
33165,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
33198,JED-NTH-ABH-AH314,1,1,1,0,1,0,3L1T,172.20.29.44,2404
33284,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,172.20.8.174,2404
33304,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
33340,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33341,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33342,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33343,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,172.20.12.169,2404
33344,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33345,JED-NTH-ABH-AH322,1,1,1,0,1,0,3L1T,172.20.61.54,2404
33346,JED-NTH-ABH-AH322,1,1,1,0,1,0,3L1T,172.20.38.38,2404
33347,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33348,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33349,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33350,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,172.20.12.101,2404
33361,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33362,JED-NTH-ABH-AH322,1,1,1,0,1,0,3L1T,172.20.5.240,2404
33364,JED-NTH-ABH-AH322,1,1,1,0,1,0,3L1T,172.20.21.13,2404
33365,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33366,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33367,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,172.20.36.105,2404
33368,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33369,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33370,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,172.168.2.233,2404
33371,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33372,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,172.20.37.12,2404
33374,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33375,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,,
33388,JED-NTH-ABH-AH323,1,1,1,0,1,0,3L1T,,
33390,JED-NTH-ABH-AH322,1,1,0,0,1,0,2L1T,172.20.36.112,2404
33395,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33402,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,172.20.12.254,2404
33403,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33404,JED-NTH-ABH-AH323,1,1,1,0,1,0,3L1T,172.168.1.218,2404
33409,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33410,JED-NTH-ABH-AH323,1,1,1,0,1,0,3L1T,172.16.25.227,2404
33411,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33412,JED-NTH-ABH-AH323,1,1,1,0,1,0,3L1T,172.168.1.51,2404
33413,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33414,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33415,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,172.20.8.208,2404
33416,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33417,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33418,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33419,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,172.20.12.170,2404
33420,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33421,JED-NTH-ABH-AH323,1,1,1,0,1,0,3L1T,172.20.39.194,2404
33429,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33430,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33431,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33432,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,172.20.9.29,2404
33433,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33434,JED-NTH-ABH-AH323,1,1,0,0,1,0,2L1T,,
33493,JED-NTH-ABH-AH308,1,1,0,0,1,0,2L1T,,
33836,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
33862,JED-NTH-ABH-AH320,1,1,1,0,1,0,3L1T,172.16.26.59,2404
33888,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
34002,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
34088,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
34116,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
34661,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,172.20.43.21,2404
34716,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
34802,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,172.20.30.51,2404
35150,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,172.20.31.190,2404
35161,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
35194,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
35222,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
35551,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
36105,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
36236,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,172.20.29.49,2404
36250,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
36352,JED-NTH-ABH-AH321,1,1,0,0,1,1,2L2T,172.20.12.111,2404
36361,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.168.2.86,2404
36372,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
36643,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,172.20.27.40,2404
36644,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
36645,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
36813,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
37036,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.20.28.81,2404
37038,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
37193,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
38105,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
38111,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
38112,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,172.20.12.108,2404
38222,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
38230,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.168.2.19,2404
38247,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
38305,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
38456,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.20.30.7,2404
38492,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
38692,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
39083,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
39084,JED-NTH-ABH-AH315,1,1,1,0,1,0,3L1T,,2404
39085,JED-NTH-ABH-AH315,1,1,1,0,0,0,3L0T,172.168.5.66,2404
39086,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
39087,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
39088,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
39089,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
39090,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
39091,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
39092,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,,
39093,JED-NTH-ABH-AH315,1,1,0,0,1,0,2L1T,172.20.61.244,2404
39364,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
39389,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
39418,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
39466,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,172.20.36.71,2404
39500,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
39503,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
39531,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
39786,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
39841,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
39967,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
40111,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,172.20.6.35,2404
40123,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,172.20.25.97,2404
40129,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,,
40130,JED-NTH-ABH-AH320,1,1,0,0,1,0,2L1T,172.168.5.29,2404
40170,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
40182,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
40227,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
40228,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
40423,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
40461,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,172.20.27.74,2404
40467,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,172.20.27.72,2404
40490,JED-NTH-ABH-AH314,1,1,1,0,1,0,3L1T,172.20.27.75,2404
40597,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,172.20.49.252,2404
41577,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
42350,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
42445,JED-NTH-ABH-AH314,1,1,0,0,1,0,2L1T,,
42548,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
42767,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
42768,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,172.20.59.174,2404
42950,JED-NTH-ABH-AH321,1,1,0,0,1,0,2L1T,,
43109,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
43124,JED-NTH-ABH-AH306,1,1,0,0,1,0,2L1T,,
43223,JED-NTH-ABH-AH312,1,1,1,0,0,0,3L0T,172.168.6.207,2404
43269,JED-NTH-ABH-AH314,1,1,1,0,1,0,3L1T,172.20.53.131,2404
43341,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
43443,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
43451,JED-NTH-ABH-AH313,1,1,0,0,1,0,2L1T,,
44294,JED-NTH-ABH-AH303,1,1,0,0,1,0,2L1T,,
44812,JED-NTH-ABH-AH307,1,1,0,0,1,0,2L1T,,
