G文件,环网柜序号,矩形框XML ID,环网柜名称,环网柜类型,类型识别来源,图内文字类型,devref类型,类型交叉校验,柜型校验状态,柜型交叉校验说明,是否智能,智能标识,状态,说明,数据库记录数,数据库是否唯一,环网柜ID,G图设备数,数据库唯一匹配设备数,环网柜设备是否完整,已正确关联设备数,未关联设备数,关联错误设备数,RMU可关联,RMU级关联阻断原因,设备级阻断原因,G图元匹配问题,数据库匹配问题
JED-NTH-ABH.sln.pic.g,143,2000059,29471,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625924,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,144,2002477,33433,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578512,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,145,2000201,37036,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625975,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,146,2000528,42350,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578272,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,147,2000849,31760,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578260,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,148,2000272,33432,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625966,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,149,2000643,30834,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625933,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,150,2000581,30874,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578307,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,151,2000551,30895,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578313,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,152,2000613,30863,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578304,7,7,YES,7,0,0,YES,,,,
